1,33,31,11,39
3,33,13,39,1
5,37,35,41,9
7,37,15,43,5
9,51,41,35,19
11,51,39,1,21
13,39,3,49,33
15,43,7,37,41
17,19,45,41,9
19,17,47,29,9
21,49,47,27,11
23,53,55,25,57
25,55,53,27,59
27,59,57,21,25
29,45,57,19,47
31,1,35,51,9
33,1,3,39,11
35,5,31,9,51
37,5,7,43,15
39,11,13,33,49
41,9,43,5,17
43,41,15,37,5
45,29,17,19,57
47,19,21,57,51
49,21,59,39,13
51,9,11,31,47
53,23,25,55,27
55,25,23,57,27
57,29,27,47,55
59,27,49,25,21
61,93,91,97,99
63,93,95,101,73
65,97,95,93,61
67,97,65,61,95
69,111,109,103,89
71,99,79,91,61
73,99,101,81,93
75,103,111,69,101
77,79,115,71,85
79,107,77,71,85
81,109,107,73,87
83,113,105,111,89
85,115,117,79,107
87,119,117,81,109
89,105,119,69,111
91,61,71,97,99
93,61,63,65,73
95,65,63,93,97
97,65,61,67,93
99,71,73,107,61
101,73,103,109,63
103,75,101,69,111
105,89,83,111,69
107,79,81,99,117
109,69,81,101,119
111,69,75,105,89
113,83,105,111,89
115,85,77,79,117
117,85,87,107,81
119,87,89,109,69
121,153,151,131,159
123,153,133,159,121
125,157,155,161,129
127,157,135,163,125
129,171,161,155,139
131,171,159,121,141
133,159,123,169,153
135,163,127,157,161
137,139,165,161,129
139,137,167,149,129
141,169,167,147,131
143,173,175,145,177
145,175,173,147,179
147,179,177,141,145
149,165,177,139,167
151,121,155,171,129
153,121,123,159,131
155,125,151,129,171
157,125,127,163,135
159,131,133,153,169
161,129,163,125,137
163,161,135,157,125
165,149,137,139,177
167,139,141,177,171
169,141,179,159,133
171,129,131,151,167
173,143,145,175,147
175,145,143,177,147
177,149,147,167,175
179,147,169,145,141
181,213,211,217,219
183,213,215,221,193
185,217,215,213,181
187,217,185,181,215
189,231,229,223,209
191,219,199,211,181
193,219,221,201,213
195,223,231,189,221
197,199,235,191,205
199,227,197,191,205
201,229,227,193,207
203,233,225,231,209
205,235,237,199,227
207,239,237,201,229
209,225,239,189,231
211,181,191,217,219
213,181,183,185,193
215,185,183,213,217
217,185,181,187,213
219,191,193,227,181
221,193,223,229,183
223,195,221,189,231
225,209,203,231,189
227,199,201,219,237
229,189,201,221,239
231,189,195,225,209
233,203,225,231,209
235,205,197,199,237
237,205,207,227,201
239,207,209,229,189
241,273,271,251,279
243,273,253,279,241
245,277,275,281,249
247,277,255,283,245
249,291,281,275,259
251,291,279,241,261
253,279,243,289,273
255,283,247,277,281
257,259,285,281,249
259,257,287,269,249
261,289,287,267,251
263,293,295,265,297
265,295,293,267,299
267,299,297,261,265
269,285,297,259,287
271,241,275,291,249
273,241,243,279,251
275,245,271,249,291
277,245,247,283,255
279,251,253,273,289
281,249,283,245,257
283,281,255,277,245
285,269,257,259,297
287,259,261,297,291
289,261,299,279,253
291,249,251,271,287
293,263,265,295,267
295,265,263,297,267
297,269,267,287,295
299,267,289,265,261
301,333,331,337,339
303,333,335,341,313
305,337,335,333,301
307,337,305,301,335
309,351,349,343,329
311,339,319,331,301
313,339,341,321,333
315,343,351,309,341
317,319,355,311,325
319,347,317,311,325
321,349,347,313,327
323,353,345,351,329
325,355,357,319,347
327,359,357,321,349
329,345,359,309,351
331,301,311,337,339
333,301,303,305,313
335,305,303,333,337
337,305,301,307,333
339,311,313,347,301
341,313,343,349,303
343,315,341,309,351
345,329,323,351,309
347,319,321,339,357
349,309,321,341,359
351,309,315,345,329
353,323,345,351,329
355,325,317,319,357
357,325,327,347,321
359,327,329,349,309
361,393,391,371,399
363,393,373,399,361
365,397,395,401,369
367,397,375,403,365
369,411,401,395,379
371,411,399,361,381
373,399,363,409,393
375,403,367,397,401
377,379,405,401,369
379,377,407,389,369
381,409,407,387,371
383,413,415,385,417
385,415,413,387,419
387,419,417,381,385
389,405,417,379,407
391,361,395,411,369
393,361,363,399,371
395,365,391,369,411
397,365,367,403,375
399,371,373,393,409
401,369,403,365,377
403,401,375,397,365
405,389,377,379,417
407,379,381,417,411
409,381,419,399,373
411,369,371,391,407
413,383,385,415,387
415,385,383,417,387
417,389,387,407,415
419,387,409,385,381
421,453,451,457,459
423,453,455,461,433
425,457,455,453,421
427,457,425,421,455
429,471,469,463,449
431,459,439,451,421
433,459,461,441,453
435,463,471,429,461
437,439,475,431,445
439,467,437,431,445
441,469,467,433,447
443,473,465,471,449
445,475,477,439,467
447,479,477,441,469
449,465,479,429,471
451,421,431,457,459
453,421,423,425,433
455,425,423,453,457
457,425,421,427,453
459,431,433,467,421
461,433,463,469,423
463,435,461,429,471
465,449,443,471,429
467,439,441,459,477
469,429,441,461,479
471,429,435,465,449
473,443,465,471,449
475,445,437,439,477
477,445,447,467,441
479,447,449,469,429
